#VMMRNbr BUSNbr MMRCh PadNbr
0 0 40 1 
0 0 44 2
0 0 46 3
0 0 48 4
0 0 50 5
0 0 52 6
0 0 54 7
0 0 63 8
0 0 61 9
0 0 59 10
0 0 55 11
0 0 53 12
0 0 49 13
0 0 45 14
0 0 41 15
0 0 39 16
0 0 37 17
0 0 28 18
0 0 30 19
0 0 36 20
0 0 16 21
0 0 33 22
0 0 31 23
0 0 27 24
0 0 23 25
0 0 21 26
0 0 13 27
0 0 11 28
0 0 9  29
0 0 3  30 
0 0 0  31
0 0 12 32
0 0 14 33
0 0 18 34
0 0 22 35
0 0 24 36
0 0 26 37
0 0 32 38
0 0 34 39
0 0 38 40
