#VMMRNbr BUSNbr MMRCh PadNbr

0 0 52 1
0 0 54 2
0 0 63 3
0 0 61 4
0 0 59 5 
0 0 55 6
0 0 53 7
0 0 49 8
0 0 45 9
0 0 41 10
0 0 39 11
0 0 37 12
0 0 33 13
0 0 31 14
0 0 27 15
0 0 23 16
0 0 21 17
0 0 13 18
0 0 11 19
0 0 9  20
0 0 3  21
0 0 0  22
0 0 12 23
0 0 14 24
0 0 18 25
0 0 22 26
0 0 24 27
0 0 26 28
0 0 32 29
0 0 34 30
0 0 38 31
0 0 40 32
0 0 44 33
0 0 46 34
0 0 16 35
0 0 28 37
0 0 30 38
0 0 36 39
0 0 48 40
0 0 50 36

