#VMMRNbr BUSNbr MMRCh PadNbr
0 0 32 1 
0 0 36 2
0 0 40 3
0 0 42 4
0 0 48 5
0 0 50 6
0 0 52 7
0 0 54 8
0 0 56 9
0 0 60 10
0 0 62 11
0 0 63 12
0 0 53 13
0 0 51 14
0 0 49 15
0 0 45 16
0 0 41 17
0 0 38 18
0 0 37 19
0 0 31 20
0 0 29 21
0 0 25 22
0 0 23 23
0 0 19 24
0 0 17 25
0 0 15 26
0 0 13 27
0 0 11 28
0 0 9  29
0 0 0  30 
0 0 2  31
0 0 4  32
0 0 8  33
0 0 10 34
0 0 14 35
0 0 18 36
0 0 22 37
0 0 24 38
0 0 26 39
0 0 30 40
